Order N: 30
Coefficients:
a_0 = 0.000000
a_1 = 0.000000, b_1 = 17.683958
a_2 = 0.000000, b_2 = -5.565410
a_3 = -0.000000, b_3 = 3.603898
a_4 = -0.000000, b_4 = -2.673453
a_5 = -0.000000, b_5 = 2.127847
a_6 = 0.000000, b_6 = -1.768246
a_7 = 0.000000, b_7 = 1.513051
a_8 = -0.000000, b_8 = -1.322423
a_9 = -0.000000, b_9 = 1.174550
a_10 = 0.000000, b_10 = -1.056469
a_11 = 0.000000, b_11 = 0.959983
a_12 = -0.000000, b_12 = -0.879655
a_13 = 0.000000, b_13 = 0.811734
a_14 = -0.000000, b_14 = -0.753547
a_15 = 0.000000, b_15 = 0.703139
a_16 = 0.000000, b_16 = -0.659045
a_17 = -0.000000, b_17 = 0.620148
a_18 = -0.000000, b_18 = -0.585578
a_19 = 0.000000, b_19 = 0.554651
a_20 = -0.000000, b_20 = -0.526818
a_21 = -0.000000, b_21 = 0.501637
a_22 = -0.000000, b_22 = -0.478746
a_23 = -0.000000, b_23 = 0.457845
a_24 = -0.000000, b_24 = -0.438684
a_25 = -0.000000, b_25 = 0.421056
a_26 = 0.000000, b_26 = -0.404782
a_27 = 0.000000, b_27 = 0.389712
a_28 = -0.000000, b_28 = -0.375717
a_29 = -0.000000, b_29 = 0.362686
a_30 = 0.000000, b_30 = -0.350522
Relative error of approximation: 0.039851
Absolute error of approximation: 0.445239
